FIPS,COUNTY,STATE,AG1CASES,AG2CASES,AG3CASES,AG4CASES,TOTALCASES,AG1AR,AG2AR,AG3AR,AG4AR
01001,Autauga,Alabama,2062,858,571.0829224562976,66.91707754370238,3558.0,0.5795390668915121,0.2411467116357504,0.16050672356838044,0.018807497904357047
01003,Baldwin,Alabama,5356,2358,1953.12133247918,204.87866752082,9872.0,0.5425445705024311,0.23885737439222043,0.19784454340348256,0.020753511701865884
01005,Barbour,Alabama,569,262,227.68648426249743,24.313515737502573,1083.0,0.5253924284395198,0.24192059095106186,0.2102368275738665,0.022450153035551777
01007,Bibb,Alabama,809,305,189.012590409858,21.98740959014198,1325.0,0.610566037735849,0.23018867924528302,0.1426510116300815,0.0165942713887864
01009,Blount,Alabama,1751,777,605.4407249861291,68.5592750138709,3202.0,0.5468457214241099,0.24266083697688945,0.18908205027674238,0.021411391322258246
01015,Calhoun,Alabama,4396,1745,1406.7317856621405,162.26821433785955,7710.0,0.5701686121919585,0.22632944228274968,0.1824554845216784,0.02104646100361343
01017,Chambers,Alabama,860,380,413.58883097542815,53.411169024571855,1707.0,0.5038078500292912,0.22261277094317516,0.24228988340681204,0.03128949562072165
01019,Cherokee,Alabama,439,219,214.81489292667098,22.185107073329007,895.0,0.49050279329608937,0.2446927374301676,0.24001664014153182,0.02478782913221118
01021,Chilton,Alabama,1322,582,419.72236842105264,50.27763157894737,2374.0,0.556866048862679,0.2451558550968829,0.176799649714007,0.021178446326431073
01025,Clarke,Alabama,1069,548,388.05678298575265,50.94321701424737,2056.0,0.5199416342412452,0.26653696498054474,0.18874357149112483,0.024777829287085294
01031,Coffee,Alabama,1531,666,489.36441147159786,59.635588528402174,2746.0,0.557538237436271,0.2425345957756737,0.17820990949439106,0.0217172572936643
01033,Colbert,Alabama,1534,742,604.9781292363308,78.02187076366923,2959.0,0.5184183845893883,0.25076039202433253,0.20445357527419086,0.026367648112088284
01039,Covington,Alabama,1002,607,586.1352272727272,82.86477272727274,2278.0,0.43985952589991223,0.2664618086040386,0.2573025580652885,0.03637610743076064
01043,Cullman,Alabama,2749,1269,994.4380044486812,99.56199555131872,5112.0,0.537754303599374,0.2482394366197183,0.19453012606586095,0.0194761337150467
01045,Dale,Alabama,1454,605,489.38485062338276,60.61514937661727,2609.0,0.5573016481410502,0.23188961287849752,0.18757564224736786,0.023233096733084425
01047,Dallas,Alabama,939,512,388.596068936049,44.403931063951,1884.0,0.4984076433121019,0.27176220806794055,0.20626118308707483,0.023568965532882697
01049,Dekalb,Alabama,2916,1259,915.0384890088088,99.96151099119116,5190.0,0.561849710982659,0.24258188824662813,0.17630799402867223,0.019260406742040687
01051,Elmore,Alabama,3054,1351,903.7648731926997,90.23512680730032,5399.000000000001,0.5656603074643451,0.25023152435636226,0.16739486445502863,0.016713303724263807
01053,Escambia,Alabama,889,427,313.6975041099985,36.302495890001495,1666.0,0.5336134453781513,0.25630252100840334,0.1882938199939967,0.021790213619448676
01055,Etowah,Alabama,4353,2033,1560.389775712265,173.6102242877349,8120.0,0.5360837438423646,0.2503694581280788,0.19216622853599322,0.02138056949356341
01059,Franklin,Alabama,1397,535,374.12355787123187,45.87644212876815,2352.0,0.5939625850340136,0.2274659863945578,0.15906613855069382,0.019505290020734756
